City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port alfred,-33.5906,26.891,291.03,96,100,0.45,ZA,1710621617
84,dudinka,69.4058,86.1778,261.83,89,100,9.83,RU,1710621694
85,valle hermoso,25.6667,-97.8333,304.07,52,86,6.8,MX,1710621694
86,albany,42.6001,-73.9662,286.86,47,75,0.45,US,1710621456
87,mae hong son,19.3003,97.9685,294.82,48,54,0.65,TH,1710621695
88,vad,55.5301,44.2114,265.0,97,61,2.12,RU,1710621696
89,lianshan,40.7643,120.8533,275.39,42,94,7.86,CN,1710621696
90,monte argentario,42.4345,11.1195,285.04,81,0,5.14,IT,1710621681
91,new norfolk,-42.7826,147.0587,284.66,95,100,1.21,AU,1710621697
92,mount isa,-20.7333,139.5,300.02,78,98,5.14,AU,1710621697
93,la tuque,47.4334,-72.7824,277.29,38,100,0.51,CA,1710621698
94,susuman,62.7833,148.1667,253.14,99,99,1.79,RU,1710621698
95,graaff-reinet,-32.2522,24.5308,290.33,77,98,4.09,ZA,1710621699
96,remire-montjoly,4.9167,-52.2667,303.17,70,40,6.69,GF,1710621540
97,qarauyl,48.9451,79.255,266.27,71,10,7.76,KZ,1710621699
98,meadow lakes,61.6247,-149.6011,275.55,58,100,3.58,US,1710621700
99,lebu,-37.6167,-73.65,287.98,72,10,7.72,CL,1710621700
100,hermanus,-34.4187,19.2345,289.71,63,51,7.44,ZA,1710621701
101,kailua-kona,19.6406,-155.9956,300.1,78,40,5.14,US,1710621701
102,kerikeri,-35.2268,173.9474,283.66,93,0,2.1,NZ,1710621481
103,fort bragg,35.139,-79.006,296.84,50,75,2.06,US,1710621702
104,chibougamau,49.9168,-74.3659,272.94,43,0,2.57,CA,1710621702
105,korla,41.7597,86.1469,276.04,42,37,3.04,CN,1710621559
106,timbuktu,16.7735,-3.0074,299.89,8,0,5.19,ML,1710621633
107,prince albert,53.2001,-105.7677,272.12,47,20,7.72,CA,1710621703
108,hawaiian paradise park,19.5933,-154.9731,295.88,88,40,4.12,US,1710621704
109,port elizabeth,-33.918,25.5701,291.54,87,100,1.34,ZA,1710621704
110,beira,-19.8436,34.8389,300.2,89,40,2.57,MZ,1710621705
111,saipan,15.1355,145.701,299.54,73,0,7.72,MP,1710621584
112,avarua,-21.2078,-159.775,302.18,70,40,3.6,CK,1710621705
113,invercargill,-46.4,168.35,282.6,94,100,2.24,NZ,1710621706
114,palmer,42.1584,-72.3287,287.22,40,75,4.63,US,1710621701
115,uturoa,-16.7333,-151.4333,301.93,67,100,1.96,PF,1710621706
116,lorengau,-2.0226,147.2712,301.21,80,97,4.36,PG,1710621707
117,mersa matruh,31.3525,27.2453,288.26,77,40,3.09,EG,1710621707
118,ilulissat,69.2167,-51.1,257.16,85,75,0.0,GL,1710621708
119,rundu,-17.9333,19.7667,294.0,80,29,2.55,NA,1710621708
120,enewetak,11.3474,162.3373,299.65,75,96,3.14,MH,1710621708
121,blackmans bay,-43.0167,147.3167,284.0,92,100,2.32,AU,1710621709
122,isangel,-19.55,169.2667,298.21,94,75,0.0,VU,1710621467
123,sandy,40.572,-111.8606,288.56,34,0,5.14,US,1710621705
124,coquimbo,-29.9533,-71.3436,292.0,68,0,6.17,CL,1710621667
125,al markaz,25.4,49.7333,295.48,46,70,2.77,SA,1710621710
126,ylitornio,66.3089,23.6773,260.91,74,5,3.55,FI,1710621711
127,iskateley,67.6803,53.1512,272.92,98,100,6.07,RU,1710621711
128,olyokminsk,60.3736,120.4264,251.68,98,46,1.89,RU,1710621712
129,susanville,40.4163,-120.653,288.06,33,0,3.6,US,1710621712
130,ternate,0.8,127.4,299.65,85,91,3.79,ID,1710621713
131,morant bay,17.8815,-76.4093,302.94,69,7,4.82,JM,1710621713
132,mana,5.6592,-53.7767,301.46,73,91,5.07,GF,1710621713
133,coutances,49.05,-1.4333,284.1,95,100,4.37,FR,1710621714
134,shaowu,27.3409,117.4831,289.72,98,99,0.55,CN,1710621714
135,egilsstadir,65.2653,-14.3948,275.1,93,100,1.03,IS,1710621715
136,kilindoni,-7.9139,39.6668,301.7,73,8,3.56,TZ,1710621715
137,boyolangu,-8.1181,111.8935,296.83,90,49,1.06,ID,1710621715
138,dilbeek,50.85,4.2667,281.29,83,0,1.54,BE,1710621716
139,bredasdorp,-34.5322,20.0403,290.98,61,100,4.42,ZA,1710621716
140,polyarnyy,69.1989,33.4478,268.17,78,84,11.9,RU,1710621458
141,port hueneme,34.1478,-119.1951,295.81,65,0,5.14,US,1710621595
142,whitby,54.4877,-0.615,281.66,88,100,2.24,GB,1710621490
143,lagunas,-5.2269,-75.6753,307.21,44,74,2.24,PE,1710621718
144,laojunmiao,39.8333,97.7333,270.06,49,81,1.61,CN,1710621719
145,vilyuysk,63.7553,121.6247,257.04,95,100,0.89,RU,1710621719
146,richards bay,-28.783,32.0377,296.95,90,100,7.8,ZA,1710621719
147,hargeysa,9.56,44.065,293.54,76,13,3.71,SO,1710621710
148,vilyuchinsk,52.9306,158.4028,272.3,89,100,9.27,RU,1710621720
149,villanueva de la serena,38.9766,-5.7974,288.59,78,100,1.51,ES,1710621721
150,wailua homesteads,22.0669,-159.378,298.39,63,0,5.66,US,1710621722
151,thompson,55.7435,-97.8558,262.24,67,100,4.63,CA,1710621444
152,namibe,-15.1961,12.1522,299.5,62,95,2.02,AO,1710621722
153,urussu,54.5981,53.4631,266.59,92,26,2.44,RU,1710621723
154,st. john's,47.5649,-52.7093,274.42,88,100,2.57,CA,1710621665
155,coyhaique,-45.5752,-72.0662,285.12,50,75,4.12,CL,1710621725
156,cadale,2.7603,46.3222,301.08,71,56,6.62,SO,1710621726
157,carnarvon,-24.8667,113.6333,301.92,57,87,6.34,AU,1710621726
158,paka,4.6374,103.4368,299.11,89,73,1.03,MY,1710621727
159,shimoda,34.6667,138.95,285.43,79,26,5.3,JP,1710621727
160,papatowai,-46.5619,169.4708,282.48,82,100,5.26,NZ,1710621727
161,arraial do cabo,-22.9661,-42.0278,302.13,74,0,6.69,BR,1710621485
162,igarka,67.4667,86.5833,265.71,95,100,6.67,RU,1710621437
163,onega,63.9061,38.1404,271.61,95,91,3.24,RU,1710621551
164,lockwood,45.8191,-108.4149,281.09,53,100,1.54,US,1710621729
165,loango,-4.6719,11.8312,302.96,84,20,3.09,CG,1710621729
166,lihue,21.9789,-159.3672,298.73,65,0,5.66,US,1710621573
167,punta arenas,-53.15,-70.9167,280.21,70,75,12.35,CL,1710621730
168,kodiak,57.79,-152.4072,273.88,75,100,6.69,US,1710621731
169,huarmey,-10.0681,-78.1522,298.27,75,95,5.51,PE,1710621605
170,nyurba,63.2842,118.3319,247.24,97,29,2.29,RU,1710621732
171,iqaluit,63.7506,-68.5145,260.0,78,75,2.57,CA,1710621732
172,grand-bassam,5.2118,-3.7388,302.13,85,38,2.39,CI,1710621733
173,shar,49.5886,81.0453,262.97,85,16,4.07,KZ,1710621733
174,recani,31.2846,-4.2688,295.25,17,0,3.38,MA,1710621734
175,menongue,-14.6585,17.691,293.26,81,30,2.38,AO,1710621734
176,elbeuf,49.2867,1.0029,286.3,76,100,3.09,FR,1710621735
177,gadzhiyevo,69.2551,33.3362,268.02,76,79,12.83,RU,1710621735
178,posto fiscal rolim de moura,-13.0833,-62.2667,304.85,57,100,2.22,BR,1710621290
179,oltinko'l,40.8011,72.1634,279.47,37,0,2.99,UZ,1710621737
180,zalari,53.5584,102.5065,256.27,99,58,2.07,RU,1710621737
181,la'ie,21.6477,-157.9253,299.13,60,11,1.79,US,1710621738
182,brownwood,31.7093,-98.9912,287.57,98,20,3.09,US,1710621738
183,santiago de chuco,-8.15,-78.1833,290.13,69,96,0.72,PE,1710621739
184,portland,45.5234,-122.6762,297.6,32,20,5.14,US,1710621670
185,camana,-16.6228,-72.7111,297.29,82,71,2.59,PE,1710621740
186,qacha's nek,-30.1154,28.6894,282.9,91,21,1.44,LS,1710621741
187,atafu village,-8.5421,-172.5159,302.65,72,100,4.47,TK,1710621742
188,lumphat,13.4878,106.9816,296.48,71,55,1.42,KH,1710621742
189,rabo de peixe,37.8,-25.5833,288.88,82,20,4.63,PT,1710621739
190,daru,-9.0763,143.2092,298.7,88,85,4.57,PG,1710621743
191,el casar,38.5309,-5.9251,287.79,77,100,1.67,ES,1710621744
192,constantia,44.1833,28.65,278.19,82,92,3.32,RO,1710621744
193,ago-are,8.5,3.4167,303.42,53,36,2.71,NG,1710621745
194,nova xavantina,-14.6667,-52.35,303.18,75,94,0.77,BR,1710621745
195,sao felix do xingu,-6.6447,-51.995,299.74,93,100,0.25,BR,1710621745
196,beipiao,41.7919,120.7792,272.49,44,3,7.49,CN,1710621746
197,talnakh,69.4865,88.3972,261.6,95,100,5.7,RU,1710621746
198,sinabang,2.4803,96.3801,300.3,77,96,1.14,ID,1710621747
199,salekhard,66.53,66.6019,260.72,79,100,5.45,RU,1710621747
